Pattern;p
0;0.661722
1;0.00369457
2;0.00115841
3;0.00149451
4;0.00436627
5;0.000265089
6;0.0016944
7;0.00318461
8;0.00129841
9;0.00126
10;9.17325e-05
11;0.000813463
12;0.000101841
13;7.98553e-05
14;8.92055e-05
15;0.000839239
16;0.000605485
17;0.000114476
18;0.000277472
19;0.000145306
20;8.1877e-05
21;1.2888e-05
22;0.00011296
23;0.00017462
24;0.00040054
25;0.000159963
26;4.34656e-05
27;0.000286822
28;4.85197e-05
29;2.09747e-05
30;9.35015e-05
31;0.000788698
32;0.0012883
33;0.000113465
34;0.000179422
35;0.000137978
36;0.00157891
37;7.10106e-05
38;0.000959022
39;0.000964834
40;5.35738e-05
41;2.90613e-05
42;5.054129999999999e-06
43;2.19855e-05
44;3.23465e-05
45;3.41154e-05
46;2.09747e-05
47;0.000178411
48;0.00038184
49;7.45485e-05
50;6.16604e-05
51;0.000129386
52;0.000152382
53;2.40071e-05
54;0.000325739
55;0.000915304
56;0.000493031
57;0.000137725
58;3.15883e-05
59;0.000192563
60;0.000117761
61;4.04331e-05
62;0.000190794
63;0.00265974
64;0.00421313
65;0.000233501
66;8.89528e-05
67;7.02525e-05
68;0.000267364
69;2.52707e-05
70;0.000108158
71;0.000135198
72;0.00150285
73;0.00283916
74;7.50539e-05
75;0.000783391
76;0.000106895
77;0.000109927
78;4.67507e-05
79;0.000308555
80;8.13716e-05
81;1.23826e-05
82;4.97832e-05
83;1.38989e-05
84;2.70396e-05
85;5.30684e-06
86;2.67869e-05
87;2.19855e-05
88;0.000142527
89;0.000141516
90;7.55593e-05
91;0.000713897
92;3.66425e-05
93;1.74368e-05
94;0.000112455
95;0.000819528
96;9.75448e-05
97;1.08664e-05
98;1.33935e-05
99;1.26353e-05
100;0.000105884
101;1.0361e-05
102;7.83391e-05
103;7.07579e-05
104;2.7545e-05
105;2.98194e-05
106;5.30684e-06
107;2.09747e-05
108;4.54872e-05
109;5.6859e-05
110;2.9314e-05
111;0.00012787
112;5.2563e-05
113;7.5811999999999995e-06
114;6.57038e-06
115;9.60286e-06
116;3.53789e-05
117;3.7905999999999998e-06
118;3.94223e-05
119;6.2924e-05
120;0.000133935
121;4.11912e-05
122;1.08664e-05
123;7.98553e-05
124;7.20214e-05
125;2.67869e-05
126;0.000115992
127;0.00117256
128;0.00111545
129;0.000115234
130;5.40792e-05
131;3.33573e-05
132;9.17325e-05
133;1.33935e-05
134;2.72923e-05
135;3.94223e-05
136;0.000192815
137;0.000143032
138;4.54872e-06
139;2.42598e-05
140;1.18772e-05
141;1.01083e-05
142;4.04331e-06
143;2.85559e-05
144;0.00025953
145;9.09744e-05
146;0.000379566
147;0.000125343
148;4.6498e-05
149;8.33932e-06
150;8.79419e-05
151;3.1841e-05
152;5.15522e-05
153;0.000131913
154;2.62815e-05
155;0.000164765
156;4.80143e-06
157;6.317669999999999e-06
158;1.13718e-05
159;9.07217e-05
160;8.76892e-05
161;1.41516e-05
162;6.317669999999999e-06
163;4.04331e-06
164;8.36459e-05
165;1.21299e-05
166;1.69314e-05
167;1.99638e-05
168;5.054129999999999e-06
169;2.77977e-06
170;2.27436e-06
171;6.823079999999999e-06
172;4.29601e-06
173;8.33932e-06
174;4.54872e-06
175;1.41516e-05
176;4.32129e-05
177;6.06496e-06
178;2.02165e-05
179;1.0361e-05
180;7.78337e-05
181;1.33935e-05
182;0.000121552
183;8.16243e-05
184;2.98194e-05
185;1.11191e-05
186;5.81226e-06
187;2.3249e-05
188;1.26353e-05
189;9.85556e-06
190;2.45126e-05
191;0.000234259
192;0.00164285
193;7.45485e-05
194;2.35017e-05
195;3.76533e-05
196;0.000105379
197;1.33935e-05
198;4.59926e-05
199;6.99998e-05
200;0.000912271
201;0.000966603
202;1.92057e-05
203;0.00014
204;7.63174e-05
205;6.74727e-05
206;2.37544e-05
207;0.000121552
208;0.00010639
209;1.92057e-05
210;8.46568e-05
211;3.15883e-05
212;3.15883e-05
213;5.559549999999999e-06
214;6.09023e-05
215;2.65342e-05
216;0.000302237
217;0.000886243
218;0.00011953
219;0.00241487
220;4.01804e-05
221;6.99998e-05
222;0.000118519
223;0.0011574
224;8.79419e-05
225;8.08662e-06
226;5.559549999999999e-06
227;5.30684e-06
228;4.06858e-05
229;4.29601e-06
230;2.24909e-05
231;3.28519e-05
232;2.67869e-05
233;1.74368e-05
234;3.28519e-06
235;1.38989e-05
236;2.27436e-05
237;3.361e-05
238;1.81949e-05
239;7.30322e-05
240;0.00010083
241;1.11191e-05
242;9.60286e-06
243;7.83391e-06
244;0.000112202
245;1.38989e-05
246;0.000109169
247;7.5812e-05
248;0.000190288
249;8.08662e-05
250;2.37544e-05
251;0.000210757
252;0.000112202
253;7.37904e-05
254;0.000268627
255;0.00307847
256;0.00361876
257;0.000211516
258;0.000120794
259;9.12271e-05
260;0.000246389
261;2.17328e-05
262;7.93499e-05
263;0.000144548
264;0.000107148
265;9.37542e-05
266;1.23826e-05
267;6.99998e-05
268;1.31408e-05
269;8.08662e-06
270;8.84474e-06
271;7.30322e-05
272;0.000104621
273;9.24907e-05
274;8.59203e-05
275;5.93861e-05
276;1.36462e-05
277;5.559549999999999e-06
278;2.24909e-05
279;2.77977e-05
280;8.36459e-05
281;5.40792e-05
282;9.60286e-06
283;4.67507e-05
284;5.559549999999999e-06
285;3.03248e-06
286;8.84474e-06
287;7.63174e-05
288;0.00123826
289;8.87001e-05
290;0.000149602
291;5.55955e-05
292;0.00269436
293;0.000109927
294;0.00098404
295;0.000330793
296;2.52707e-05
297;4.44764e-05
298;5.81226e-06
299;2.85559e-05
300;2.67869e-05
301;5.6859e-05
302;1.69314e-05
303;0.000125595
304;0.000153646
305;4.92778e-05
306;0.00012888
307;0.000161227
308;0.000156678
309;2.29963e-05
310;0.00092238
311;0.000816748
312;0.000124837
313;7.96026e-05
314;1.13718e-05
315;0.000125848
316;4.80143e-05
317;2.65342e-05
318;8.23824e-05
319;0.00130422
320;0.000264837
321;2.55234e-05
322;1.33935e-05
323;1.01083e-05
324;2.67869e-05
325;4.54872e-06
326;1.08664e-05
327;2.02165e-05
328;6.74727e-05
329;9.80502e-05
330;1.08664e-05
331;6.41875e-05
332;1.08664e-05
333;1.64259e-05
334;8.84474e-06
335;4.70035e-05
336;1.4657e-05
337;4.04331e-06
338;6.06496e-06
339;5.30684e-06
340;2.77977e-06
341;2.02165e-06
342;6.57038e-06
343;5.559549999999999e-06
344;1.74368e-05
345;2.22382e-05
346;1.08664e-05
347;7.50539e-05
348;3.03248e-06
349;3.7905999999999998e-06
350;1.31408e-05
351;0.000103104
352;6.2924e-05
353;1.16245e-05
354;1.13718e-05
355;7.075789999999999e-06
356;0.000124584
357;1.4657e-05
358;6.49456e-05
359;3.41154e-05
360;2.95667e-05
361;5.23103e-05
362;7.5811999999999995e-06
363;4.09385e-05
364;5.71117e-05
365;0.000139241
366;3.00721e-05
367;0.000192563
368;1.87003e-05
369;5.30684e-06
370;9.85556e-06
371;8.33932e-06
372;1.81949e-05
373;6.823079999999999e-06
374;6.49456e-05
375;7.48012e-05
376;3.86641e-05
377;2.80504e-05
378;1.01083e-05
379;7.70756e-05
380;2.88086e-05
381;3.08302e-05
382;7.65701e-05
383;0.000954473
384;0.00148844
385;8.54149e-05
386;2.95667e-05
387;3.81587e-05
388;6.722e-05
389;1.06137e-05
390;3.38627e-05
391;8.54149e-05
392;0.000130649
393;5.35738e-05
394;3.7905999999999998e-06
395;2.72923e-05
396;8.08662e-06
397;7.83391e-06
398;2.52707e-06
399;4.04331e-05
400;0.000131155
401;5.93861e-05
402;0.000114729
403;7.68228e-05
404;2.0722e-05
405;3.7905999999999998e-06
406;3.10829e-05
407;2.42598e-05
408;0.000126859
409;0.000161985
410;1.2888e-05
411;0.000134187
412;7.5811999999999995e-06
413;7.83391e-06
414;7.83391e-06
415;8.28878e-05
416;0.000819023
417;7.48012e-05
418;2.02165e-05
419;2.65342e-05
420;0.000736387
421;6.722e-05
422;0.000159711
423;0.000146064
424;1.97111e-05
425;3.1841e-05
426;6.317669999999999e-06
427;3.10829e-05
428;2.04692e-05
429;4.16966e-05
430;1.16245e-05
431;9.12271e-05
432;0.000274692
433;4.59926e-05
434;0.000153646
435;0.000125595
436;0.000701261
437;7.98553e-05
438;0.00231656
439;0.00130472
440;0.000184476
441;0.000123068
442;2.7545e-05
443;0.000307039
444;8.06135e-05
445;8.06135e-05
446;0.00022314
447;0.00326017
448;0.0031606
449;0.000132418
450;3.71479e-05
451;6.69673e-05
452;0.000126101
453;2.24909e-05
454;6.64619e-05
455;0.000187003
456;0.000936531
457;0.000326244
458;2.02165e-05
459;0.000136462
460;7.12633e-05
461;4.52345e-05
462;3.31046e-05
463;0.000194837
464;0.000187256
465;2.57761e-05
466;3.1841e-05
467;2.95667e-05
468;1.97111e-05
469;4.54872e-06
470;2.57761e-05
471;3.91695e-05
472;0.000890033
473;0.000775304
474;6.84835e-05
475;0.00128249
476;6.06496e-05
477;7.93499e-05
478;7.50539e-05
479;0.000918084
480;0.000852885
481;6.46929e-05
482;2.60288e-05
483;3.84114e-05
484;0.000295414
485;3.99277e-05
486;0.00013166
487;0.000204692
488;0.000189277
489;0.000115487
490;1.11191e-05
491;8.41513e-05
492;0.00012231
493;0.000179169
494;7.53066e-05
495;0.000441479
496;0.000813463
497;7.42958e-05
498;7.20214e-05
499;9.02163e-05
500;0.000796532
501;8.92055e-05
502;0.00111039
503;0.000960538
504;0.00260566
505;0.00126429
506;0.000242851
507;0.00314039
508;0.00118267
509;0.000930214
510;0.00302616
511;0.20469
